g++ -std=c++17 -c -fmessage-length=0 -fPIC  -Wall -g -O3 -I./src -I.  -c -o src/Convolver.o src/Convolver.cpp
g++  src/Convolver.o src/FFT.o src/main.o src/Convolver2.o -o test
chmod 755 test
./test
 HX, HY, DX, DY
0, 1 , 1.00001 , 1.60187e-07
0.00628319, 0.99998 , 0.999985 , -0.0205342
0.0125664, 0.999921 , 0.999926 , -0.0205338
0.0188496, 0.999822 , 0.999828 , -0.0424853
0.0251327, 0.999684 , 0.999689 , -0.0424828
0.0314159, 0.999507 , 0.999512 , -0.066057
0.0376991, 0.999289 , 0.999295 , -0.0660508
0.0439823, 0.999033 , 0.999039 , -0.091508
0.0502655, 0.998737 , 0.998742 , -0.0914958
0.0565487, 0.998402 , 0.998407 , -0.119159
0.0628319, 0.998027 , 0.998033 , -0.119139
0.069115, 0.997612 , 0.997619 , -0.149431
0.0753982, 0.997159 , 0.997165 , -0.149401
0.0816814, 0.996666 , 0.996673 , -0.182872
0.0879646, 0.996134 , 0.996141 , -0.18283
0.0942478, 0.995562 , 0.99557 , -0.220231
0.100531, 0.994951 , 0.994957 , -0.220173
0.106814, 0.994301 , 0.994307 , -0.262547
0.113097, 0.993611 , 0.993618 , -0.262472
0.119381, 0.992883 , 0.99289 , -0.311357
0.125664, 0.992115 , 0.992121 , -0.31126
0.131947, 0.991308 , 0.991314 , -0.369025
0.13823, 0.990461 , 0.990469 , -0.368903
0.144513, 0.989576 , 0.989584 , -0.439503
0.150796, 0.988652 , 0.988658 , -0.439349
0.15708, 0.987688 , 0.987695 , -0.530124
0.163363, 0.986686 , 0.986693 , -0.529935
0.169646, 0.985645 , 0.985651 , -0.657051
0.175929, 0.984564 , 0.984571 , -0.656817
0.182212, 0.983445 , 0.983451 , -0.868766
0.188496, 0.982287 , 0.982293 , -0.868478
0.194779, 0.98109 , 0.98109 , -1.50479
0.201062, 0.979855 , 0.979856 , -1.50441
0.207345, 0.978581 , 0.978583 , -0.867351
0.213628, 0.977268 , 0.97727 , -0.866875
0.219911, 0.975917 , 0.975916 , -0.654153
0.226195, 0.974527 , 0.974527 , -0.653611
0.232478, 0.973099 , 0.973099 , -0.525718
0.238761, 0.971632 , 0.971631 , -0.525128
0.245044, 0.970127 , 0.970124 , -0.433568
0.251327, 0.968583 , 0.968582 , -0.432937
0.257611, 0.967001 , 0.967001 , -0.361553
0.263894, 0.965382 , 0.96538 , -0.36089
0.270177, 0.963724 , 0.963721 , -0.302337
0.27646, 0.962028 , 0.962026 , -0.301646
0.282743, 0.960294 , 0.960291 , -0.251972
0.289027, 0.958522 , 0.958519 , -0.251259
0.29531, 0.956712 , 0.956706 , -0.208091
0.301593, 0.954865 , 0.954861 , -0.207358
0.307876, 0.952979 , 0.952977 , -0.16917
0.314159, 0.951057 , 0.951053 , -0.168422
0.320442, 0.949096 , 0.949093 , -0.13416
0.326726, 0.947098 , 0.947095 , -0.1334
0.333009, 0.945063 , 0.94506 , -0.102318
0.339292, 0.942991 , 0.942987 , -0.101548
0.345575, 0.940881 , 0.940876 , -0.0730923
0.351858, 0.938734 , 0.93873 , -0.072314
0.358142, 0.93655 , 0.936546 , -0.0460686
0.364425, 0.934329 , 0.934325 , -0.0452855
0.370708, 0.932071 , 0.932066 , -0.0209209
0.376991, 0.929776 , 0.929772 , -0.0201344
0.383274, 0.927445 , 0.92744 , 0.00260585
0.389558, 0.925077 , 0.925071 , 0.0033932
0.395841, 0.922673 , 0.922664 , 0.0247194
0.402124, 0.920232 , 0.920231 , 0.025506
0.408407, 0.917755 , 0.917754 , 0.0262914
0.41469, 0.915241 , 0.91524 , 0.0270761
0.420973, 0.912692 , 0.912691 , 0.0278598
0.427257, 0.910106 , 0.910105 , 0.0286424
0.43354, 0.907484 , 0.907484 , 0.0294238
0.439823, 0.904827 , 0.904826 , 0.0302041
0.446106, 0.902134 , 0.902133 , 0.0309833
0.452389, 0.899405 , 0.899405 , 0.0317611
0.458673, 0.896641 , 0.89664 , 0.0325376
0.464956, 0.893841 , 0.893841 , 0.033313
0.471239, 0.891007 , 0.891006 , 0.0340871
0.477522, 0.888136 , 0.888136 , 0.0348597
0.483805, 0.885231 , 0.885231 , 0.0356311
0.490088, 0.882291 , 0.88229 , 0.0364009
0.496372, 0.879316 , 0.879316 , 0.0371698
0.502655, 0.876307 , 0.876306 , 0.0379366
0.508938, 0.873262 , 0.873262 , 0.0387019
0.515221, 0.870184 , 0.870183 , 0.0394659
0.521504, 0.867071 , 0.86707 , 0.0402283
0.527788, 0.863923 , 0.863923 , 0.0409892
0.534071, 0.860742 , 0.860741 , 0.0417484
0.540354, 0.857527 , 0.857526 , 0.0425058
0.546637, 0.854277 , 0.854277 , 0.043262
0.55292, 0.850994 , 0.850994 , 0.044016
0.559204, 0.847678 , 0.847677 , 0.0447684
0.565487, 0.844328 , 0.844327 , 0.0455191
0.57177, 0.840945 , 0.840944 , 0.0462681
0.578053, 0.837528 , 0.837527 , 0.0470152
0.584336, 0.834078 , 0.834078 , 0.0477605
0.590619, 0.830596 , 0.830595 , 0.0485038
0.596903, 0.827081 , 0.82708 , 0.049246
0.603186, 0.823533 , 0.823532 , 0.0499853
0.609469, 0.819952 , 0.819952 , 0.0507221
0.615752, 0.816339 , 0.816339 , 0.0514576
0.622035, 0.812694 , 0.812694 , 0.0521908
0.628319, 0.809017 , 0.809016 , 0.0529222
0.634602, 0.805308 , 0.805307 , 0.0536514
0.640885, 0.801567 , 0.801566 , 0.0543786
0.647168, 0.797794 , 0.797794 , 0.0551037
0.653451, 0.79399 , 0.79399 , 0.0558264
0.659734, 0.790155 , 0.790154 , 0.0565469
0.666018, 0.786288 , 0.786288 , 0.0572654
0.672301, 0.782391 , 0.78239 , 0.0579815
0.678584, 0.778462 , 0.778462 , 0.0586954
0.684867, 0.774503 , 0.774503 , 0.0594069
0.69115, 0.770513 , 0.770513 , 0.0601161
0.697434, 0.766493 , 0.766493 , 0.0608231
0.703717, 0.762443 , 0.762442 , 0.0615273
0.71, 0.758362 , 0.758362 , 0.0622292
0.716283, 0.754251 , 0.754251 , 0.0629289
0.722566, 0.750111 , 0.750111 , 0.0636258
0.72885, 0.745941 , 0.745941 , 0.0643204
0.735133, 0.741742 , 0.741742 , 0.0650124
0.741416, 0.737513 , 0.737513 , 0.0657019
0.747699, 0.733255 , 0.733255 , 0.0663888
0.753982, 0.728969 , 0.728969 , 0.0670728
0.760265, 0.724653 , 0.724653 , 0.0677543
0.766549, 0.720309 , 0.720309 , 0.0684334
0.772832, 0.715936 , 0.715937 , 0.0691096
0.779115, 0.711536 , 0.711536 , 0.0697831
0.785398, 0.707107 , 0.707107 , 0.0704539
0.791681, 0.70265 , 0.70265 , 0.0711219
0.797965, 0.698165 , 0.698167 , 0.0717872
0.804248, 0.693653 , 0.693652 , 0.0724488
0.810531, 0.689114 , 0.689112 , 0.0731074
0.816814, 0.684547 , 0.684545 , 0.0737641
0.823097, 0.679953 , 0.679952 , 0.0744178
0.82938, 0.675333 , 0.675331 , 0.0750684
